modelo,fold,macro_f1,balanced_accuracy,accuracy,precision_baja,recall_baja,f1_baja,precision_media,recall_media,f1_media,precision_alta,recall_alta,f1_alta
Dummy_most_frequent,1,0.1411192214111922,0.3333333333333333,0.26851851851851855,0.0,0.0,0.0,0.0,0.0,0.0,0.26851851851851855,1.0,0.4233576642335766
Persistencia,1,0.6125541125541126,0.612025081981374,0.6134259259259259,0.7297297297297297,0.7248322147651006,0.7272727272727273,0.5443786982248521,0.5508982035928144,0.5476190476190477,0.5652173913043478,0.5603448275862069,0.5627705627705628
Climatologia_mes,1,0.42696319254228987,0.47068429676171836,0.44675925925925924,0.5333333333333333,0.6442953020134228,0.5835866261398176,0.3611111111111111,0.15568862275449102,0.2175732217573222,0.39444444444444443,0.6120689655172413,0.4797297297297297
Climatologia_zona_mes,1,0.6945881184702136,0.6995236557664583,0.6921296296296297,0.8014184397163121,0.7583892617449665,0.7793103448275862,0.6410256410256411,0.5988023952095808,0.6191950464396285,0.6370370370370371,0.7413793103448276,0.6852589641434262
Dummy_most_frequent,2,0.16228838295388207,0.3333333333333333,0.32175925925925924,0.0,0.0,0.0,0.32175925925925924,1.0,0.4868651488616462,0.0,0.0,0.0
Persistencia,2,0.5900780685952723,0.5904821571873058,0.5925925925925926,0.7046979865771812,0.7191780821917808,0.711864406779661,0.460431654676259,0.460431654676259,0.460431654676259,0.6041666666666666,0.5918367346938775,0.5979381443298969
Climatologia_mes,2,0.5147740009853546,0.5425819813816266,0.5486111111111112,0.6180555555555556,0.6095890410958904,0.6137931034482759,0.4027777777777778,0.20863309352517986,0.27488151658767773,0.5509259259259259,0.8095238095238095,0.6556473829201102
Climatologia_zona_mes,2,0.7228215878821679,0.7210924578760252,0.7222222222222222,0.851063829787234,0.821917808219178,0.8362369337979094,0.5882352941176471,0.6474820143884892,0.6164383561643836,0.7391304347826086,0.6938775510204082,0.7157894736842105
Dummy_most_frequent,3,0.15146094215861658,0.3333333333333333,0.29398148148148145,0.0,0.0,0.0,0.29398148148148145,1.0,0.4543828264758497,0.0,0.0,0.0
Persistencia,3,0.5849183648089257,0.5844394805579607,0.5972222222222222,0.743421052631579,0.7243589743589743,0.7337662337662337,0.375,0.3779527559055118,0.3764705882352941,0.6381578947368421,0.6510067114093959,0.6445182724252492
Climatologia_mes,3,0.4637733568909999,0.4884622385547186,0.5069444444444444,0.6111111111111112,0.5641025641025641,0.5866666666666667,0.2638888888888889,0.14960629921259844,0.19095477386934673,0.5185185185185185,0.7516778523489933,0.6136986301369863
Climatologia_zona_mes,3,0.7259311463489665,0.7246165408983144,0.7291666666666666,0.8472222222222222,0.782051282051282,0.8133333333333334,0.564625850340136,0.6535433070866141,0.6058394160583942,0.7801418439716312,0.738255033557047,0.7586206896551724
Dummy_most_frequent,4,0.14135886912904697,0.3333333333333333,0.2690972222222222,0.0,0.0,0.0,0.2690972222222222,1.0,0.4240766073871409,0.0,0.0,0.0
Persistencia,4,0.5741236122038639,0.5742552935152555,0.5954861111111112,0.7038834951456311,0.7107843137254902,0.7073170731707317,0.34838709677419355,0.34838709677419355,0.34838709677419355,0.6697674418604651,0.663594470046083,0.6666666666666666
Climatologia_mes,4,0.4293783036840269,0.508847625071534,0.5572916666666666,0.5590277777777778,0.7892156862745098,0.6544715447154471,0.0,0.0,0.0,0.5555555555555556,0.7373271889400922,0.6336633663366337
Climatologia_zona_mes,4,0.7057838037340071,0.7065720912020722,0.7135416666666666,0.83,0.8137254901960784,0.8217821782178217,0.5106382978723404,0.6193548387096774,0.5597667638483965,0.7925531914893617,0.6866359447004609,0.7358024691358025
